Id,Home Ownership,Annual Income,Years in current job,Tax Liens,Number of Open Accounts,Years of Credit History,Maximum Open Credit,Number of Credit Problems,Months since last delinquent,Bankruptcies,Purpose,Term,Current Loan Amount,Current Credit Balance,Monthly Debt,Credit Score,Credit Default
5325,Home Mortgage,1129322,4 years,0,11,20.7,442200,1,,1,debt consolidation,Short Term,338184,133665,15905,748,0
5326,Rent,310555,,0,11,14.7,342782,0,,0,debt consolidation,Short Term,106656,240692,10093,6150,1
5327,Home Mortgage,855969,10+ years,0,10,22,484990,0,,0,debt consolidation,Long Term,495022,332158,12982,655,1
5328,Home Mortgage,2586546,3 years,0,16,17.8,1531332,0,60,0,debt consolidation,Short Term,532444,1011731,51300,735,0
5329,Rent,,5 years,0,10,12.9,228448,0,21,0,debt consolidation,Short Term,326370,151715,12496,,0
5330,Rent,857831,2 years,0,8,11.7,150194,0,,0,debt consolidation,Short Term,220726,61370,4403,724,1
5331,Home Mortgage,1405335,7 years,0,6,13.5,905036,0,,0,other,Short Term,99999999,5472,7530,750,0
5332,Rent,,10+ years,0,9,11.6,591008,0,54,0,debt consolidation,Short Term,157124,182723,11874,,1
5333,Home Mortgage,1267395,3 years,0,11,11.8,137676,1,61,0,home improvements,Short Term,99999999,34124,25559,719,0
5334,Home Mortgage,2939414,1 year,0,22,15.6,1676136,0,,0,home improvements,Short Term,307406,579025,37967,736,0
5335,Home Mortgage,3297070,10+ years,0,9,20.5,885522,0,29,0,home improvements,Short Term,654456,198835,3929,744,0
5336,Rent,284810,,0,13,19.5,198110,1,69,0,debt consolidation,Short Term,43978,63137,5221,746,1
5337,Home Mortgage,1328803,3 years,0,6,23.4,124718,0,37,0,debt consolidation,Long Term,534182,57722,25136,702,1
5338,Rent,1647946,3 years,0,7,17.7,159346,0,14,0,other,Short Term,134684,97147,17166,702,0
5339,Rent,,3 years,0,5,13.3,316294,1,,1,other,Short Term,133672,84132,10199,,0
5340,Rent,1037894,5 years,0,8,12.5,572286,0,,0,debt consolidation,Long Term,393316,219944,17990,679,0
5341,Rent,1247844,10+ years,0,9,11.1,613492,0,,0,debt consolidation,Long Term,444576,334324,14246,722,0
5342,Home Mortgage,,10+ years,0,19,25.9,1419858,0,,0,debt consolidation,Long Term,669240,1016557,48679,,1
5343,Rent,1512096,2 years,0,9,30.3,784234,0,,0,debt consolidation,Short Term,99999999,150366,12853,751,0
5344,Rent,1831543,10+ years,0,16,17.7,745536,0,72,0,debt consolidation,Short Term,89298,424954,35868,724,0
5345,Rent,1213264,10+ years,0,21,16.1,406054,0,,0,debt consolidation,Short Term,540320,233206,20423,716,0
5346,Home Mortgage,1433987,10+ years,0,18,30.2,1338986,0,5,0,home improvements,Short Term,269258,238222,5139,741,0
5347,Home Mortgage,2169933,7 years,0,10,12.7,413644,0,,0,debt consolidation,Long Term,486112,53580,46653,745,0
5348,Rent,768797,10+ years,0,7,16.6,628980,0,,0,debt consolidation,Short Term,130262,127661,10424,751,0
5349,Rent,944585,,0,11,13.7,393360,0,25,0,debt consolidation,Short Term,147114,77805,3589,7360,1
5350,Rent,846374,3 years,0,15,13.6,357280,0,,0,debt consolidation,Short Term,144276,189145,16010,727,0
5351,Rent,927200,4 years,0,11,16,431090,0,,0,business loan,Short Term,214720,141094,14372,711,1
5352,Home Mortgage,927181,7 years,0,13,15,396726,0,24,0,debt consolidation,Short Term,245938,182951,24107,687,1
5353,Rent,758328,2 years,0,10,9,265364,0,,0,debt consolidation,Short Term,263428,92359,11122,7440,1
5354,Home Mortgage,766688,10+ years,0,14,17,668514,0,,0,debt consolidation,Short Term,157014,368353,21851,6960,1
5355,Rent,1070004,3 years,0,12,19.1,1769130,0,,0,debt consolidation,Long Term,434720,557688,18458,729,0
5356,Home Mortgage,1730007,10+ years,0,16,16.4,745690,0,25,0,debt consolidation,Short Term,99999999,321366,18165,744,0
5357,Home Mortgage,1040383,10+ years,0,8,19.1,105314,1,18,0,home improvements,Long Term,258148,50654,11618,678,0
5358,Rent,1032669,10+ years,0,13,18,793430,0,,0,debt consolidation,Long Term,422312,500232,24182,674,1
5359,Home Mortgage,1093982,5 years,0,23,22.5,540540,0,,0,debt consolidation,Short Term,107360,97565,18415,723,1
5360,Home Mortgage,1349019,10+ years,0,14,23.3,325820,0,9,0,debt consolidation,Short Term,133892,126901,33163,735,1
5361,Rent,,2 years,0,6,28.5,725010,0,,0,other,Short Term,32186,560405,13463,,0
5362,Home Mortgage,1455856,9 years,0,10,19.2,248996,0,15,0,debt consolidation,Short Term,429484,99769,24386,725,0
5363,Own Home,1517568,10+ years,0,14,24.7,1803560,0,,0,debt consolidation,Long Term,788480,876945,26178,729,0
5364,Rent,869877,3 years,0,7,12.3,192610,0,,0,debt consolidation,Long Term,228294,101137,22109,660,0
5365,Home Mortgage,5038534,1 year,0,7,26.6,1518066,0,,0,debt consolidation,Short Term,770550,899384,68440,730,0
5366,Own Home,618488,< 1 year,0,12,15.7,257708,0,34,0,debt consolidation,Short Term,258368,92815,3371,691,0
5367,Rent,669408,10+ years,0,4,15.5,247302,0,,0,debt consolidation,Short Term,334092,184319,5634,730,0
5368,Home Mortgage,2149109,10+ years,0,4,17.1,806300,0,,0,home improvements,Short Term,430672,123956,10369,750,0
5369,Home Mortgage,1347613,2 years,0,17,23.7,583440,0,51,0,debt consolidation,Short Term,99999999,381444,24594,712,0
5370,Home Mortgage,1456369,10+ years,0,29,19.8,1054944,0,,0,debt consolidation,Long Term,259424,613168,32890,677,0
5371,Home Mortgage,,5 years,0,8,17.6,265408,0,61,0,debt consolidation,Long Term,86328,114152,9093,,0
5372,Rent,758632,4 years,1,10,10.9,217206,1,,0,debt consolidation,Short Term,65890,65474,5797,738,0
5373,Own Home,1711881,10+ years,6,12,15.4,551166,6,26,0,debt consolidation,Short Term,313654,295602,36092,741,0
5374,Rent,,5 years,0,12,10.4,242066,0,,0,debt consolidation,Short Term,65494,63764,1282,,0
5375,Home Mortgage,1136751,5 years,0,9,16.4,320122,0,,0,other,Short Term,181720,236379,21314,741,1
5376,Rent,1133274,5 years,0,8,18,196856,0,,0,debt consolidation,Long Term,575740,164578,29937,621,0
5377,Home Mortgage,1125180,10+ years,0,10,16.3,240658,0,,0,debt consolidation,Short Term,162866,142994,12940,733,0
5378,Home Mortgage,1598052,10+ years,0,17,20.6,2422068,0,,0,debt consolidation,Long Term,435380,1020794,31029,745,0
5379,Rent,500574,,0,6,26.4,451902,1,,1,debt consolidation,Short Term,53504,87818,2561,747,0
5380,Rent,1156511,3 years,0,11,14.1,331254,0,,0,debt consolidation,Long Term,590986,268926,22061,613,0
5381,Rent,1151856,2 years,0,9,15,464266,0,,0,debt consolidation,Short Term,324544,248995,29180,681,1
5382,Rent,967347,9 years,0,33,16,783530,0,,0,debt consolidation,Long Term,425414,467590,19669,6950,1
5383,Home Mortgage,1422435,7 years,0,27,23.6,561396,0,36,0,debt consolidation,Short Term,329406,132354,21455,7320,1
5384,Home Mortgage,2781885,10+ years,0,14,18,1766688,0,,0,debt consolidation,Short Term,751608,96121,33614,746,0
5385,Home Mortgage,1095996,5 years,0,12,14.5,394416,0,,0,other,Long Term,512072,164863,22377,736,0
5386,Rent,,10+ years,0,9,24.6,793826,0,13,0,debt consolidation,Short Term,438592,624549,20833,,1
5387,Rent,1749501,3 years,0,4,23.5,351340,0,21,0,debt consolidation,Long Term,405152,247589,14302,731,0
5388,Home Mortgage,1903154,10+ years,0,17,13.3,708290,0,,0,debt consolidation,Short Term,449724,494874,46627,741,1
5389,Rent,,4 years,0,15,17,871222,0,80,0,debt consolidation,Short Term,648054,365674,22387,,1
5390,Rent,741912,2 years,0,9,9.3,678326,0,,0,debt consolidation,Short Term,279202,319276,15147,738,0
5391,Home Mortgage,907706,7 years,0,8,6.6,320848,0,5,0,business loan,Short Term,356906,33535,13162,612,1
5392,Home Mortgage,1734453,10+ years,0,10,36.9,449152,0,,0,debt consolidation,Short Term,446292,330885,31943,746,0
5393,Rent,1008938,3 years,0,10,12.4,319110,0,6,0,debt consolidation,Short Term,224664,152418,21524,730,1
5394,Home Mortgage,1484793,10+ years,0,13,47,480084,0,54,0,debt consolidation,Short Term,160754,172482,17941,740,0
5395,Home Mortgage,,4 years,0,8,11.4,0,0,,0,other,Long Term,643896,0,10418,,1
5396,Home Mortgage,8710740,2 years,2,15,16.5,3162896,2,,0,debt consolidation,Short Term,560340,1663545,40215,735,1
5397,Rent,412205,1 year,0,12,29,903386,0,9,0,debt consolidation,Short Term,190036,212990,9343,7270,1
5398,Home Mortgage,2054869,8 years,0,18,14.4,2009370,0,,0,debt consolidation,Short Term,264374,1112374,39214,746,0
5399,Home Mortgage,2334150,6 years,0,8,10.9,536382,0,,0,debt consolidation,Long Term,421080,303430,29566,691,0
5400,Rent,795530,1 year,0,16,11.8,405680,0,38,0,debt consolidation,Short Term,288398,259616,12264,720,1
5401,Home Mortgage,1211478,10+ years,0,14,28.9,2763376,0,,0,debt consolidation,Short Term,500434,517883,15043,740,0
5402,Rent,,9 years,0,17,16.8,983444,0,,0,debt consolidation,Short Term,437316,377112,15011,,0
5403,Home Mortgage,967100,1 year,0,7,9.4,172700,1,,1,home improvements,Long Term,99999999,48032,9026,714,0
5404,Home Mortgage,1488289,7 years,0,15,15.4,465960,1,,1,debt consolidation,Short Term,99999999,187929,35099,726,0
5405,Rent,,< 1 year,0,4,18.2,122166,0,42,0,take a trip,Short Term,22220,69008,13036,,0
5406,Home Mortgage,1452645,10+ years,0,18,15.6,1121010,0,,0,debt consolidation,Short Term,269126,190722,11306,744,0
5407,Home Mortgage,1470999,4 years,0,12,24.6,1779646,0,,0,debt consolidation,Short Term,456632,1126586,38491,748,0
5408,Home Mortgage,1460340,5 years,0,7,21.3,1001990,0,,0,debt consolidation,Short Term,315634,542583,13301,748,1
5409,Home Mortgage,1526384,8 years,0,11,16.9,326876,0,78,0,debt consolidation,Long Term,415888,232617,24041,692,0
5410,Rent,503082,1 year,0,4,9.5,264484,0,,0,debt consolidation,Short Term,119306,214719,4360,723,0
5411,Rent,1026513,2 years,0,6,20,828124,0,,0,other,Short Term,518650,609349,16390,700,0
5412,Home Mortgage,952375,10+ years,0,2,13.7,143330,0,,0,debt consolidation,Short Term,308220,115121,11508,736,0
5413,Home Mortgage,370025,6 years,0,8,25.1,411026,0,24,0,home improvements,Long Term,133892,17746,3278,742,0
5414,Rent,613016,6 years,0,12,14.3,259336,0,25,0,debt consolidation,Short Term,129052,129010,10626,741,0
5415,Home Mortgage,4906028,10+ years,2,13,13.8,374792,2,31,0,other,Short Term,785862,72504,32830,705,0
5416,Rent,1887175,10+ years,0,10,18.5,978802,0,20,0,debt consolidation,Short Term,99999999,581590,24690,745,0
5417,Own Home,1254760,8 years,0,6,20.8,221386,0,,0,debt consolidation,Short Term,134112,166535,11816,740,0
5418,Home Mortgage,686907,,0,8,26.9,356598,1,,1,debt consolidation,Short Term,161216,134900,3600,737,0
5419,Home Mortgage,,4 years,0,9,21,219582,0,,0,debt consolidation,Short Term,439032,168397,16001,,0
5420,Rent,1511488,7 years,0,6,17.8,487696,0,,0,debt consolidation,Long Term,507540,412775,30230,702,0
5421,Rent,706040,,0,6,14.6,270732,0,,0,debt consolidation,Short Term,223850,198037,6884,696,0
5422,Rent,,10+ years,0,11,17,426008,1,,1,home improvements,Short Term,178508,125096,20741,,0
5423,Rent,902101,5 years,0,13,16.9,284372,0,,0,debt consolidation,Short Term,177782,134596,17215,734,0
5424,Home Mortgage,1547189,4 years,0,10,22.5,297924,0,,0,medical bills,Short Term,60434,201210,24497,743,1
5425,Home Mortgage,1501912,6 years,0,11,20.5,650210,0,,0,debt consolidation,Long Term,543466,472815,19162,693,0
5426,Home Mortgage,,4 years,0,10,23.6,1035518,0,,0,debt consolidation,Long Term,776468,338048,7937,,0
5427,Home Mortgage,,10+ years,0,12,19.1,321310,0,8,0,debt consolidation,Short Term,178530,246145,16787,,0
5428,Home Mortgage,910746,10+ years,0,12,30,416196,0,78,0,debt consolidation,Long Term,99999999,155268,14724,719,0
5429,Rent,518054,5 years,0,11,13.8,291390,0,,0,debt consolidation,Short Term,171138,227487,13944,730,0
5430,Rent,,1 year,0,9,12.9,704132,0,15,0,debt consolidation,Short Term,311388,207974,21685,,0
5431,Home Mortgage,1100594,10+ years,0,12,22.5,1928982,0,,0,debt consolidation,Short Term,298254,129941,14858,750,0
5432,Home Mortgage,2785590,< 1 year,0,14,28.6,7526552,0,,0,debt consolidation,Long Term,645084,2678088,57569,738,0
5433,Rent,1060162,10+ years,0,4,20.9,1021218,0,25,0,debt consolidation,Long Term,624932,346617,11273,666,0
5434,Home Mortgage,2140844,10+ years,0,7,26,247808,0,,0,business loan,Short Term,468974,200108,28366,710,0
5435,Own Home,,1 year,0,8,10,172084,0,49,0,home improvements,Short Term,223058,70889,12986,,1
5436,Own Home,799805,5 years,0,9,24.6,213664,0,43,0,debt consolidation,Short Term,133584,108870,5785,734,0
5437,Home Mortgage,1627388,8 years,0,8,15.9,422290,0,,0,debt consolidation,Long Term,259908,355585,23461,683,0
5438,Rent,,4 years,0,7,17,671814,0,33,0,debt consolidation,Short Term,309848,439793,31164,,0
5439,Rent,561621,3 years,0,13,11,247258,0,,0,debt consolidation,Short Term,173404,131556,8012,741,0
5440,Home Mortgage,667736,10+ years,0,7,31.3,330132,1,,1,other,Short Term,107360,80123,10016,680,0
5441,Rent,702430,2 years,0,10,8.8,166914,0,,0,debt consolidation,Short Term,219824,72219,10478,723,0
5442,Home Mortgage,4477065,4 years,0,5,22.5,529342,0,,0,debt consolidation,Short Term,352946,363907,17647,746,0
5443,Rent,1138632,10+ years,0,6,13,100474,1,32,1,debt consolidation,Short Term,153010,24567,10248,739,0
5444,Rent,1162686,3 years,0,11,9.7,511852,0,,0,debt consolidation,Short Term,448756,401375,25773,706,0
5445,Home Mortgage,349600,,0,9,17.9,480876,0,,0,other,Short Term,43560,110466,6439,749,0
5446,Home Mortgage,2980644,3 years,0,13,19.8,138952,5,60,0,debt consolidation,Long Term,243804,57589,49181,678,0
5447,Rent,940310,4 years,0,15,22.5,544522,0,60,0,debt consolidation,Short Term,99999999,321670,23273,731,0
5448,Home Mortgage,1160862,6 years,0,9,14.8,730092,0,13,0,debt consolidation,Short Term,99999999,607202,25442,704,0
5449,Home Mortgage,,9 years,0,16,19.7,496540,0,6,0,debt consolidation,Long Term,260348,195548,15115,,0
5450,Rent,1498264,2 years,0,8,9.9,609180,0,,0,debt consolidation,Short Term,325292,273068,5594,743,0
5451,Home Mortgage,1299809,10+ years,0,7,16,324918,0,,0,debt consolidation,Short Term,99999999,128516,9889,746,0
5452,Home Mortgage,1864489,10+ years,0,7,18.1,402688,0,19,0,medical bills,Short Term,78716,262922,31696,7140,1
5453,Home Mortgage,2025495,10+ years,0,15,23,701558,0,,0,home improvements,Short Term,99999999,470174,44899,740,0
5454,Rent,802066,2 years,0,7,13.1,588412,0,78,0,debt consolidation,Short Term,358050,286615,12833,736,0
5455,Rent,,< 1 year,0,13,18.4,342738,0,20,0,educational expenses,Short Term,165704,163096,26937,,0
5456,Home Mortgage,2176374,10+ years,0,7,20,1893760,0,,0,debt consolidation,Long Term,539550,1329677,28565,680,0
5457,Own Home,661409,10+ years,0,12,17.2,194722,0,38,0,debt consolidation,Long Term,288838,143279,12897,677,1
5458,Home Mortgage,2038890,6 years,0,8,14.1,809842,0,,0,debt consolidation,Long Term,617782,673550,26676,703,0
5459,Home Mortgage,,10+ years,0,8,28.4,570526,0,,0,debt consolidation,Short Term,206646,117762,3635,,1
5460,Home Mortgage,582882,10+ years,0,17,48.6,449900,1,,1,other,Short Term,224972,158517,12678,721,0
5461,Home Mortgage,1052182,10+ years,0,13,21.8,276342,0,37,0,debt consolidation,Long Term,402490,156788,11486,726,0
5462,Rent,1127707,10+ years,0,14,14,468930,0,59,0,medical bills,Short Term,184514,362045,25185,688,0
5463,Home Mortgage,1214252,7 years,0,8,27,556050,0,27,0,debt consolidation,Short Term,666754,300143,12446,708,0
5464,Rent,1463057,< 1 year,0,17,13.7,595914,0,,0,debt consolidation,Short Term,289784,296438,21336,745,0
5465,Rent,,2 years,0,7,10.2,287540,0,,0,debt consolidation,Short Term,79618,139061,9344,,0
5466,Rent,1897891,5 years,0,11,10.7,1004058,0,,0,debt consolidation,Short Term,439516,760475,26571,705,0
5467,Home Mortgage,,10+ years,0,9,35.3,316536,0,10,0,debt consolidation,Short Term,260590,240578,16879,,0
5468,Home Mortgage,1722654,10+ years,0,21,29,2107160,0,,0,debt consolidation,Short Term,332442,789792,25711,736,0
5469,Rent,1555340,1 year,0,18,30.7,794024,0,,0,debt consolidation,Long Term,135058,285266,18781,733,0
5470,Rent,1125978,10+ years,0,23,15.6,707828,0,45,0,debt consolidation,Short Term,260744,235961,15201,728,0
5471,Rent,830243,10+ years,0,7,15.6,390544,0,36,0,debt consolidation,Long Term,227524,108946,3127,673,0
5472,Rent,1236691,1 year,0,5,11.2,97680,0,,0,debt consolidation,Short Term,173580,63517,11089,748,0
5473,Home Mortgage,729505,10+ years,0,18,18.4,582494,0,58,0,debt consolidation,Long Term,372328,258571,11064,680,0
5474,Rent,835430,7 years,0,8,13.4,221430,0,,0,debt consolidation,Long Term,214962,147839,10304,678,0
5475,Home Mortgage,1030978,8 years,0,13,21.5,728530,0,38,0,debt consolidation,Long Term,425876,115767,14692,729,1
5476,Home Mortgage,2025267,10+ years,0,17,16,1060268,0,63,0,debt consolidation,Short Term,116094,559493,25991,746,0
5477,Own Home,852264,7 years,0,10,16.2,567776,0,36,0,debt consolidation,Short Term,451748,264784,7955,626,1
5478,Home Mortgage,2505568,10+ years,0,9,23.7,178618,0,12,0,debt consolidation,Short Term,99999999,80826,10649,739,0
5479,Rent,2213006,10+ years,0,12,18.1,465718,0,,0,other,Long Term,156090,250591,34117,660,1
5480,Home Mortgage,1060276,10+ years,0,13,14.7,416680,0,,0,debt consolidation,Long Term,526152,325318,16169,7210,1
5481,Rent,741760,1 year,0,8,10,362868,0,,0,debt consolidation,Short Term,154594,143849,13043,7330,1
5482,Rent,548017,10+ years,0,15,13.8,168410,0,15,0,debt consolidation,Short Term,99999999,72428,2626,731,0
5483,Rent,699067,10+ years,0,12,16.4,341286,0,68,0,debt consolidation,Long Term,350020,259369,8389,688,1
5484,Rent,1452664,6 years,2,5,17,491810,2,74,0,debt consolidation,Long Term,452848,328757,5677,682,0
5485,Home Mortgage,3501586,10+ years,0,15,24.5,518848,0,19,0,home improvements,Short Term,42900,387600,38226,682,0
5486,Home Mortgage,2623026,1 year,0,7,16,260326,0,,0,home improvements,Long Term,520652,182115,36526,7400,1
5487,Rent,816354,3 years,0,5,5.4,103246,0,,0,other,Short Term,65956,26486,816,733,0
5488,Rent,,5 years,0,10,17.4,388916,0,,0,debt consolidation,Long Term,266816,324140,15117,,0
5489,Home Mortgage,647387,6 years,0,8,15.2,726220,0,,0,debt consolidation,Short Term,110396,336167,12257,748,1
5490,Home Mortgage,1193314,10+ years,0,10,17.6,347424,1,41,1,debt consolidation,Short Term,249612,204630,13027,748,0
5491,Home Mortgage,874513,< 1 year,0,11,13,407198,0,17,0,debt consolidation,Short Term,99999999,280269,22154,734,0
5492,Home Mortgage,1263785,10+ years,0,8,16.3,310706,0,,0,debt consolidation,Short Term,450252,175218,17588,750,0
5493,Home Mortgage,,5 years,0,10,26.8,74690,1,,1,home improvements,Short Term,309056,41933,39229,,0
5494,Home Mortgage,639730,< 1 year,0,7,17.6,276584,0,4,0,debt consolidation,Long Term,324610,125400,9543,699,1
5495,Rent,658559,4 years,0,4,14,95898,0,,0,other,Short Term,43582,73625,7244,657,0
5496,Rent,690232,1 year,0,11,9.4,139920,0,49,0,debt consolidation,Short Term,111562,92568,11101,739,1
5497,Rent,,< 1 year,0,6,4.3,145156,0,,0,debt consolidation,Short Term,94534,92511,9676,,0
5498,Home Mortgage,970900,1 year,0,13,13.3,613514,0,39,0,debt consolidation,Long Term,292292,232617,13754,7030,1
5499,Home Mortgage,,10+ years,0,13,19.6,2107138,0,,0,debt consolidation,Long Term,438988,354863,8572,,1
5500,Home Mortgage,1025145,10+ years,0,17,8.4,518078,0,,0,debt consolidation,Long Term,431640,327522,19819,693,1
5501,Rent,1111842,6 years,0,14,21.5,202686,0,59,0,debt consolidation,Short Term,96558,93461,12508,736,0
5502,Home Mortgage,523906,10+ years,0,12,31.9,311828,0,5,0,debt consolidation,Short Term,122408,87799,9649,690,1
5503,Home Mortgage,2118006,4 years,0,10,27.4,621808,0,9,0,debt consolidation,Short Term,356708,331873,12443,744,0
5504,Home Mortgage,1411320,7 years,0,12,21.8,884290,0,16,0,debt consolidation,Long Term,217888,210026,9562,711,0
5505,Home Mortgage,939170,10+ years,0,9,15.4,189266,0,,0,home improvements,Short Term,99999999,131575,4790,734,0
5506,Own Home,319067,,0,14,7,784828,0,13,0,home improvements,Short Term,106172,12198,436,734,0
5507,Home Mortgage,1106959,10+ years,0,4,23.7,60566,0,,0,debt consolidation,Short Term,108086,40375,950,743,0
5508,Home Mortgage,,5 years,0,13,11,688644,0,,0,debt consolidation,Short Term,411884,336623,17485,,1
5509,Home Mortgage,2812095,10+ years,0,9,14.2,371162,0,20,0,debt consolidation,Short Term,130240,95190,13357,750,0
5510,Home Mortgage,3084384,10+ years,0,12,15.5,1036046,0,,0,debt consolidation,Long Term,558030,392787,31872,699,0
5511,Home Mortgage,1975202,10+ years,0,12,24.5,327580,0,24,0,debt consolidation,Short Term,250690,247266,21069,740,0
5512,Rent,,10+ years,0,14,19.6,428384,0,56,0,debt consolidation,Short Term,216458,220115,8867,,0
5513,Home Mortgage,1784708,10+ years,0,11,28.6,449592,1,,1,debt consolidation,Short Term,99999999,147554,29448,736,0
5514,Rent,1501608,6 years,0,9,10.8,147840,0,,0,debt consolidation,Short Term,139106,118864,16643,726,0
5515,Rent,802047,2 years,0,26,11.1,397672,0,42,0,moving,Short Term,99999999,109896,13394,666,0
5516,Rent,806854,5 years,0,6,12,424578,0,67,0,debt consolidation,Short Term,266926,164274,3456,735,0
5517,Home Mortgage,1139772,3 years,0,7,19.4,265738,0,,0,business loan,Short Term,500390,42693,6934,711,1
5518,Home Mortgage,1760787,10+ years,0,8,23.6,602976,0,,0,debt consolidation,Long Term,493614,320777,15994,740,0
5519,Rent,667166,4 years,0,10,9.5,160930,0,,0,debt consolidation,Short Term,150216,98534,9007,714,0
5520,Home Mortgage,1058851,8 years,0,11,17.6,383020,1,,0,debt consolidation,Short Term,129052,253707,13236,722,0
5521,Rent,1751382,4 years,0,15,15.4,1030348,0,,0,other,Short Term,450648,423567,23790,735,0
5522,Rent,374110,10+ years,0,10,19.4,946418,0,,0,debt consolidation,Short Term,99999999,317129,10163,739,0
5523,Home Mortgage,1520304,10+ years,0,21,35.5,21372428,0,0,0,other,Long Term,99999999,1975012,12555,728,0
5524,Rent,1212105,< 1 year,0,17,15.2,403238,0,43,0,debt consolidation,Short Term,99999999,266760,16666,732,0
5525,Home Mortgage,,10+ years,0,21,20.7,490380,0,9,0,debt consolidation,Short Term,221694,134254,12598,,0
5526,Home Mortgage,1889740,8 years,0,37,25.7,1366332,0,14,0,debt consolidation,Short Term,636746,154584,38267,743,0
5527,Home Mortgage,996436,6 years,0,8,17.5,232870,0,,0,debt consolidation,Short Term,99999999,147421,16607,747,0
5528,Rent,959785,2 years,0,11,14.8,257774,1,74,1,other,Long Term,250052,93062,5167,607,1
5529,Rent,2301432,5 years,0,10,14.6,865062,1,,1,debt consolidation,Long Term,777238,184528,38741,632,0
5530,Home Mortgage,1356011,10+ years,0,12,28.5,658988,0,,0,other,Short Term,212300,398962,21018,734,0
5531,Home Mortgage,915287,7 years,0,16,14,399608,0,68,0,debt consolidation,Short Term,211970,192565,20365,708,0
5532,Own Home,1631967,10+ years,0,7,28.1,269082,0,28,0,home improvements,Short Term,99999999,147345,11410,739,0
5533,Home Mortgage,854487,10+ years,0,13,16,703252,0,,0,debt consolidation,Long Term,435336,447013,18585,728,1
5534,Rent,,1 year,0,11,10.9,397408,0,39,0,medical bills,Short Term,131824,11666,2087,,1
5535,Own Home,911126,6 years,0,9,26.4,1025266,0,,0,debt consolidation,Long Term,409090,510910,18071,734,0
5536,Home Mortgage,1694439,< 1 year,0,8,11.9,217998,0,,0,debt consolidation,Short Term,435996,142899,21604,746,0
5537,Home Mortgage,557061,6 years,0,8,11.8,346060,0,65,0,debt consolidation,Short Term,71918,95342,3700,676,0
5538,Rent,1599344,< 1 year,0,7,5.6,331012,0,21,0,debt consolidation,Long Term,348590,170373,15727,706,0
5539,Home Mortgage,1546239,5 years,0,13,26.4,691218,0,,0,debt consolidation,Long Term,99999999,129542,37238,730,0
5540,Home Mortgage,1722312,4 years,0,11,18.8,1000098,0,,0,debt consolidation,Long Term,558382,284164,36872,730,0
5541,Rent,727890,1 year,0,10,19.2,313302,0,33,0,debt consolidation,Long Term,179806,167770,6539,711,0
5542,Home Mortgage,2867100,10+ years,0,16,28,3075996,0,23,0,debt consolidation,Long Term,99999999,2194310,70961,602,0
5543,Rent,1377842,10+ years,0,10,19.5,854502,0,,0,debt consolidation,Short Term,437096,523963,34217,729,0
5544,Rent,1035918,6 years,0,9,6.8,350592,0,69,0,debt consolidation,Short Term,431816,95988,17092,683,1
5545,Rent,2273388,10+ years,0,7,16.5,212718,0,58,0,debt consolidation,Short Term,219362,145502,21597,708,0
5546,Home Mortgage,1073994,2 years,0,15,16.5,515328,0,83,0,debt consolidation,Long Term,177650,108148,9219,741,1
5547,Rent,1031871,10+ years,0,7,16,346830,0,45,0,debt consolidation,Short Term,270512,242630,15736,728,1
5548,Rent,985226,10+ years,0,10,27.5,217294,0,18,0,debt consolidation,Short Term,449746,151449,26109,696,0
5549,Rent,759544,1 year,0,17,9,208736,0,,0,debt consolidation,Short Term,99999999,133228,7406,728,0
5550,Home Mortgage,3819760,10+ years,0,12,15.9,1631894,0,,0,business loan,Long Term,663432,1192326,43927,658,1
5551,Rent,888706,3 years,0,15,12,843788,0,,0,debt consolidation,Short Term,246752,401527,19033,712,1
5552,Home Mortgage,3770208,2 years,0,13,23.2,2238148,0,,0,debt consolidation,Long Term,761156,962597,35628,740,0
5553,Rent,1075533,7 years,0,23,18.5,277244,1,,1,debt consolidation,Short Term,99999999,74233,8111,748,0
5554,Rent,4215112,10+ years,0,14,22.3,753478,0,,0,debt consolidation,Short Term,399322,446405,32983,743,0
5555,Rent,907801,5 years,0,8,13.4,291434,0,47,0,debt consolidation,Short Term,314798,78527,15433,6740,1
5556,Home Mortgage,1607172,6 years,0,6,31.6,405438,0,,0,debt consolidation,Short Term,99999999,240559,26250,750,0
5557,Home Mortgage,,10+ years,0,5,18,641872,0,,0,debt consolidation,Short Term,139766,374186,9812,,0
5558,Rent,1297814,4 years,0,17,18,678788,0,20,0,debt consolidation,Short Term,99999999,388075,20138,741,0
5559,Own Home,679820,2 years,0,7,8,530156,0,,0,debt consolidation,Long Term,330396,311334,10764,670,1
5560,Home Mortgage,1453842,6 years,0,11,12.9,372856,0,45,0,debt consolidation,Short Term,301158,254714,8711,735,0
5561,Home Mortgage,,10+ years,0,10,18.3,416372,0,,0,buy house,Long Term,681450,6118,15307,,1
5562,Own Home,1419167,6 years,0,13,20,265144,0,,0,home improvements,Long Term,755348,106020,22588,615,1
5563,Rent,,10+ years,0,9,25.2,331210,0,57,0,debt consolidation,Short Term,177672,148466,16897,,0
5564,Rent,,4 years,0,13,23.4,701954,0,7,0,debt consolidation,Short Term,107492,173983,9578,,0
5565,Rent,631731,< 1 year,0,8,28.8,356972,1,,1,debt consolidation,Long Term,258170,183122,12371,724,0
5566,Own Home,,< 1 year,0,12,24.7,594594,0,0,,other,Short Term,92620,126331,11987,,0
